SKU,Material Name,Constituent,CAS,Percentage
0ZA01228,Apricot Oil - Fixed Oil from PerfumersWorld,Apricot Oil - Fixed Oil,68650-44-2,100
0ZA01393,Evening Primrose Oil - Fixed Oil from PerfumersWorld,Evening Primrose Oil - Fixed Oil,90028-66-3,100
0ZA01431,Sweet Almond Oil - Fixed Oil from PerfumersWorld,Sweet Almond Oil - Fixed Oil,8007-69-0,100
0ZA01433,Avocado Oil - Fixed Oil from PerfumersWorld,Avocado Oil - Fixed Oil,8024-32-6,100
0ZA01434,Grapeseed Oil - Fixed Oil from PerfumersWorld,Grapeseed Oil - Fixed Oil,85594-37-2,100
0ZA01437,Olive Oil - Fixed Oil from PerfumersWorld,Olive Oil - Fixed Oil,8001-25-0,100
0ZA01442,Rice Bran Oil - Fixed Oil from PerfumersWorld,Rice Bran Oil - Fixed Oil,68553-81-1,100
0ZA01456,Jojoba Oil - Fixed Oil from PerfumersWorld,Jojoba Oil - Fixed Oil,90045-98-0,100
0ZA07519,Vitamin E Acetate - Fixed Oil from PerfumersWorld,Vitamin E Acetate - Fixed Oil,58-95-7,100
0ZA07555,Palm Oil Fractionated - Fixed Oil (Palm MCT) from PerfumersWorld,Palm Oil Fractionated - Fixed Oil (Palm MCT),8023-79-8,100
0ZC00449,Triethyl Citrate (TEC) from PerfumersWorld,Triethyl Citrate (TEC),77-93-0,100
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PerfumersWorld,3-Methyl-3-Methoxy Butanol (MMB),56539-66-3,100
0ZN00053,Benzyl Alcohol (BA) from PerfumersWorld,BENZYL ALCOHOL,100-51-6,100
0ZN00054,Benzyl Benzoate (BB) from PerfumersWorld,BENZYL BENZOATE,120-51-4,100
0ZP00365,Propylene Glycol (PG) from PerfumersWorld,Propylene Glycol (PG),57-55-6,100
0ZP03359,Butylated Hydroxytoluene (BHT) antioxidant from PerfumersWorld,Butylated Hydroxytoluene (BHT) antioxidant,128-37-0,100
0ZV01349,Rosemary Antioxidant - Extract from PerfumersWorld,Rosemary Antioxidant - Extract,84604-14-8,100
0ZV01445,Safflower Oil - Fixed Oil from PerfumersWorld,Safflower Oil - Fixed Oil,8001-23-8,100
0ZV01452,Sunflower Oil - Fixed Oil from PerfumersWorld,Sunflower Oil - Fixed Oil,8001-21-6,100
0ZV01460,Virgin Coconut Oil - Fixed Oil from PerfumersWorld,Virgin Coconut Oil - Fixed Oil,8001-31-8,100
0ZV22213,Coconut Oil Fractionated (Coconut MCT) Fixed Oil from PerfumersWorld,Coconut Oil Fractionated (Coconut MCT) Fixed Oil,8001-31-8,100
0ZW00165,Dipropylene Glycol (DPG) from PerfumersWorld,Dipropylene Glycol (DPG),25265-71-8,100
0ZX00143,Diethyl Phthalate (DEP) from PerfumersWorld,Diethyl Phthalate (DEP),84-66-2,100
0ZZ00239,Isopropyl Myristate (IPM) from PerfumersWorld,Isopropyl Myristate (IPM),110-27-0,100
0ZZ00240,Isopropyl Palmitate (IPP) from PerfumersWorld,Isopropyl Palmitate (IPP),142-91-6,100
0ZZ07723,White Mineral Oil - Fixed Oil from PerfumersWorld,White Mineral Oil - Fixed Oil,110-27-0,100
1AA05031,Myristic Acid from PerfumersWorld,Myristic Acid,544-63-8,100
1AA06214,Lauric Acid from PerfumersWorld,Lauric Acid,0143-07-07,100
1BB00290,Menthol Crystals from PerfumersWorld,Menthol Crystals,2216-51-5,100
1BH00080,Camphor Powder from PerfumersWorld,Camphor Powder,464-49-3,100
1BW00064,Borneol from PerfumersWorld,Borneol,507-70-0,100
1CN00320,Nerolin Bromelia from PerfumersWorld,Nerolin Bromelia,93-18-5,100
1CN00321,Nerolin Yara yara from PerfumersWorld,Nerolin Yara yara,93-04-9,100
1EN13109,2-Acetyl Pyrazine from PerfumersWorld,2-Acetyl Pyrazine,22047-25-2,100
1FB00071,Buccoxime from PerfumersWorld,Buccoxime,75147-23-8,100
1FL00392,Raspberry Ketone from PerfumersWorld,RASPBERRY KETONE,5471-51-2,100
1NC00340,Oranger Crystals from PerfumersWorld,ORANGER CRYSTAL,93-08-3,100
1NP00009,Acetophenone from PerfumersWorld,Acetophenone,98-86-2,100
1PF01952,para-Cresyl Phenyl Acetate from PerfumersWorld,para-Cresyl Phenyl Acetate,101-94-0,100
1PS00442,Thymol from PerfumersWorld,Thymol,89-83-8,100
1RO05275,Phenyl Ethyl Salicylate from PerfumersWorld,Phenyl Ethyl Salicylate,87-22-9,100
1RP00051,Benzophenone from PerfumersWorld,Benzophenone,119-61-9,100
1RP05672,Rosone Rose Crystals from PerfumersWorld,Rosone Rose Crystals,90-17-5,100
1SP00011,Acetyl Isoeugenol from PerfumersWorld,Acetyl Isoeugenol,93-29-8,100
1SP00058,Benzyl Isoeugenol from PerfumersWorld,Benzyl Isoeugenol,0120-11-6,100
1UW00035,Ambrox Super from PerfumersWorld,Ambrox Super,6790-58-5,100
1UW00036,Ambroxan from PerfumersWorld,Ambroxan,6790-58-5,100
1UW16861,Ambrofix from PerfumersWorld,Ambrofix,6790-58-5,100
1VD00129,Coumarin from PerfumersWorld,COUMARIN,91-64-5,100
1VE00283,Maltol from PerfumersWorld,Maltol,118-71-8,100
1VE00286,Maple Lactone from PerfumersWorld,Maple Lactone,80-71-7,100
1VF00175,Ethyl Maltol from PerfumersWorld,Ethyl Maltol,4940-11-08 00:00:00,100
1VT23924,Cocoa CO2 Extract from PerfumersWorld,Cocoa CO2 Extract,84649-99-0,100
1VV00179,Ethyl Vanillin from PerfumersWorld,Ethyl Vanillin,121-32-4,100
1VW00456,Vanillin from PerfumersWorld,Vanillin,121-33-5,100
1WU21632,Ambrocenide from PerfumersWorld,Ambrocenide,211299-54-6,100
1WW00096,Cedrenyl Acetate from PerfumersWorld,Cedrenyl Acetate,1405-92-1,100
1WW01281,Cedrol from PerfumersWorld,Cedrol,77-53-2,100
1XA00444,Tonalide from PerfumersWorld,Tonalide,1506-02-01,100
1XU00308,Musk Ketone from PerfumersWorld,MUSK KETONE,81-14-1,100
1XY00101,Celestolide from PerfumersWorld,Celestolide,13171-00-1,100
1YG00077,Calone from PerfumersWorld,Calone,,100
1YP00185,Evernyl from PerfumersWorld,Evernyl,4707-47-5,100
1ZX03525,Citric Acid from PerfumersWorld,Citric Acid,77-92-9,100
2CQ00168,Elemi Gum from PerfumersWorld,METHYL EUGENOL,93-15-2,0.41
2CQ00168,Elemi Gum from PerfumersWorld,L-CARVONE,99-49-0,0.08
