SKU,Material Name,Constituent,CAS,Percentage
0ZA01228,Apricot Oil - Fixed Oil from PW,Apricot Oil - Fixed Oil,68650-44-2,100.0
0ZA01393,Evening Primrose Oil - Fixed Oil from PW,Evening Primrose Oil - Fixed Oil,90028-66-3,100.0
0ZA01431,Sweet Almond Oil - Fixed Oil from PW,Sweet Almond Oil - Fixed Oil,8007-69-0,100.0
0ZA01433,Avocado Oil - Fixed Oil from PW,Avocado Oil - Fixed Oil,8024-32-6,100.0
0ZA01434,Grapeseed Oil - Fixed Oil from PW,Grapeseed Oil - Fixed Oil,85594-37-2,100.0
0ZA01437,Olive Oil - Fixed Oil from PW,Olive Oil - Fixed Oil,8001-25-0,100.0
0ZA01442,Rice Bran Oil - Fixed Oil from PW,Rice Bran Oil - Fixed Oil,68553-81-1,100.0
0ZA01456,Jojoba Oil - Fixed Oil from PW,Jojoba Oil - Fixed Oil,90045-98-0,100.0
0ZA07519,Vitamin E Acetate - Fixed Oil from PW,Vitamin E Acetate - Fixed Oil,58-95-7,100.0
0ZA07555,Palm Oil Fractionated - Fixed Oil (Palm MCT) from PW,Palm Oil Fractionated - Fixed Oil (Palm MCT),8023-79-8,100.0
0ZC00449,Triethyl Citrate (TEC) from PW,Triethyl Citrate (TEC),77-93-0,100.0
0ZH20962,3-Methyl-3-Methoxy Butanol (MMB) from PW,3-Methyl-3-Methoxy Butanol (MMB),56539-66-3,100.0
0ZN00053,Benzyl Alcohol (BA) from PW,BENZYL ALCOHOL,100-51-6,100.0
0ZN00054,Benzyl Benzoate (BB) from PW,BENZYL BENZOATE,120-51-4,100.0
0ZP00365,Propylene Glycol (PG) from PW,Propylene Glycol (PG),57-55-6,100.0
0ZP03359,Butylated Hydroxytoluene (BHT) antioxidant from PW,Butylated Hydroxytoluene (BHT) antioxidant,128-37-0,100.0
0ZV01349,Rosemary Antioxidant - Extract from PW,Rosemary Antioxidant - Extract,84604-14-8,100.0
0ZV01445,Safflower Oil - Fixed Oil from PW,Safflower Oil - Fixed Oil,8001-23-8,100.0
0ZV01452,Sunflower Oil - Fixed Oil from PW,Sunflower Oil - Fixed Oil,8001-21-6,100.0
0ZV01460,Virgin Coconut Oil - Fixed Oil from PW,Virgin Coconut Oil - Fixed Oil,8001-31-8,100.0
